姓名,國文,英文,數學,社會,地理
李淑芳,60,94,85,84,97
龐皓芳,95,66,98,67,51
盧必妍,75,64,79,76,59
白世宏,71,81,59,72,62
馬彥文,97,93,68,56,79
王士銘,81,65,75,87,74
郎慧萍,80,98,84,98,77
王筱婷,78,56,70,51,83
戴萱能,100,69,98,61,87
林怡偉,95,70,67,80,51
劉慧君,91,72,75,82,79
林志喜,97,74,51,93,84
王雅慧,79,62,99,52,72
朱彥志,91,91,61,92,63
盧冠發,93,93,65,78,64
詹忠光,55,75,60,61,93
周家銘,85,83,62,62,77
鄧淑娟,74,76,87,74,77
張凡成,81,69,61,56,97
鄭佳玲,98,63,100,59,77
簡佳樺,58,83,87,79,68
王孝純,54,97,58,97,72
張慧君,95,88,75,73,95
孫宜珊,55,67,97,88,100
林建勳,72,63,93,90,77
王惠皓,64,52,57,62,94
林思賢,71,53,82,78,99
陳姵彬,84,80,74,54,70
楊少亮,74,74,59,82,54
孫宜珊,62,74,67,81,87
